geo,name,broadband_subscribers_per_100_people,cell_phones_per_100_people,children_per_woman_total_fertility,co2_pcap_cons,gdp_pcap,gini,lex,median_age_years,average_daily_income,population_density_per_square_km
afg,Afghanistan,0.07963,56.2655,4.93,0.284,1981.71017,39.53,62.64,16.752,3.6068,62.497
ago,Angola,0.3867,66.6008,5.21,1.225,7397.48643,53.75,64.53,16.39,5.3361,28.583
alb,Albania,20.6989,98.395,1.36,2.103,17111.95393,35.03,76.07,35.943,17.3271,103.205
and,Andorra,51.2051,142.426,1.07,5.909,63913.38351,35.04,82.73,42.832,62.9583,169.585
are,UAE,36.8486,195.625,1.15,21.122,68867.82593,27.23,73.41,30.903,81.1961,144.206
arg,Argentina,24.6832,131.484,1.48,3.847,27627.96348,45.28,75.37,31.739,26.8879,16.265
arm,Armenia,17.7301,130.54,1.72,2.7,17886.17839,31.74,73.66,35.815,8.8647,101.211
atg,Antigua and Barbuda,10.6818,200.541,1.58,5.939,27941.78515,37.01,76.82,35.072,27.0553,211
aus,Australia,36.3933,109.469,1.64,13.935,59883.64704,34.4,83.36,37.512,73.277,3.411
aut,Austria,29.2343,121.166,1.41,9.2,65661.45219,32.71,82.67,42.832,82.4267,109.85
aze,Azerbaijan,20.3656,107.506,1.69,3.842,21051.24424,28.83,71.37,32.062,23.6011,124.553
bdi,Burundi,0.03007,56.26,4.98,0.051,829.38716,42.74,63.45,15.672,2.6029,513.337
bel,Belgium,43.5657,101.68,1.55,16.928,62744.203,29.17,81.87,41.151,68.3912,384.498
ben,Benin,0.15307,105.745,4.63,0.71,3588.3252,50.23,63.96,17.646,5.4554,122.025
bfa,Burkina Faso,0.06691,119.463,4.28,0.306,2466.05331,37.27,61.39,17.041,4.4354,82.27
bgd,Bangladesh,7.1702,109.867,2.18,0.844,7888.16389,34.46,75.47,24.99,7.5102,1301.259
bgr,Bulgaria,34.9668,116.679,1.77,5.823,32433.14955,43.35,69.9,44.154,35.4106,62.972
bhr,Bahrain,18.0026,139.636,1.84,16.037,57572.99798,36.85,76.29,31.683,56.2589,1958.441
bhs,Bahamas,21.1356,101.624,1.38,4.75,34342.79041,44,76.61,34.234,33.0924,74.195
bih,Bosnia and Herzegovina,27.319,118.944,1.48,6.452,19297.07149,34.41,75.02,44.559,35.1703,62.597
blr,Belarus,34.0672,128.315,1.33,6.322,26537.50831,27.14,73.05,40.192,20.3981,45.208
blz,Belize,9.75386,67.175,1.95,1.516,12569.81794,52.96,71.47,25.521,21.8016,17.656
bol,Bolivia,10.9975,101.572,2.58,1.988,9681.70743,43.51,68.92,24.392,21.7198,11.149
bra,Brazil,20.9534,101.245,1.63,2.109,18554.04618,57.15,73.92,33.506,24.361,25.162
brb,Barbados,37.4843,114.581,1.71,4.522,18469.57659,43.94,76.64,38.652,18.1378,656.553
brn,Brunei,19.805,116.108,1.76,24.477,76357.8291,34.96,74.16,31.276,76.5498,78.989
btn,Bhutan,0.63182,95.1298,1.48,1.802,14061.31203,37.34,74.03,28.81,18.0737,20.339
bwa,Botswana,4.53192,178.205,2.79,5.104,18647.37346,54.59,62.67,22.604,12.9349,4.305
caf,Central African Republic,0.01608,38.8218,6.02,0.071,1136.80171,60.46,51.83,14.298,2.773,8.183
can,Canada,42.1792,91.2387,1.37,13.173,58321.06118,35.48,82.66,40.253,83.8726,4.269
che,Switzerland,46.6748,123.971,1.4,11.644,82777.29358,35,84.46,41.961,91.4699,219.849
chl,Chile,22.7902,135.114,1.26,4.544,29569.47755,46.61,79.35,35.526,32.7678,25.968
chn,China,41.3736,124.195,1.03,7.379,21499.38228,39.08,78.21,38.534,17.6715,148.456
civ,Cote d'Ivoire,1.25179,161.232,4.35,0.596,6272.26396,43.64,63.82,17.992,6.2997,95.582
cmr,Cameroon,2.12862,89.8274,4.4,0.408,4843.65038,48.91,62.71,17.623,6.9254,59.291
cod,"Congo, Dem. Rep.",0.03223,48.6774,6.11,0.026,1385.46473,45.82,64.47,15.766,2.1153,45.167
cog,"Congo, Rep.",0.43588,93.6259,4.22,0.674,6205.10504,51.42,65.75,18.202,4.2379,17.672
col,Colombia,17.0075,156.195,1.66,2.389,18458.72095,53.72,76.96,31.181,18.4954,46.043
com,Comoros,0.21937,100.549,3.94,0.287,3478.17347,45.13,68.31,20.102,7.1505,448.247
cpv,Cape Verde,6.56769,113.247,1.53,1.263,8850.10669,42.38,72.5,27.322,10.2145,128.968
cri,Costa Rica,21.7576,154.989,1.34,2.383,24831.71935,50.05,77.95,33.536,26.8095,99.525
cub,Cuba,2.892,68.718,1.41,2.551,15557.80294,44.66,79.22,41.505,15.996,103.597
cyp,Cyprus,37.8998,151.241,1.39,5.621,51588.44531,32.74,81.3,37.339,59.5394,144.088
cze,Czech Republic,37.7137,128.105,1.62,9.835,48390.66168,27.16,78.34,42.645,44.7562,138.249
deu,Germany,44.6186,124.158,1.46,9.3,62931.96841,34.25,80.63,45.024,83.0519,241.239
dji,Djibouti,1.41246,46.7771,2.65,0.734,6180.67999,41.59,66.58,24.085,7.145,49.055
dma,Dominica,20.8601,85.1899,1.48,2.574,17550.80099,38.21,71.75,35.295,17.5741,89.102
dnk,Denmark,44.8864,126.484,1.56,7.685,70233.64023,30.03,81.58,41.216,71.8642,139.239
dom,Dominican Republic,10.6744,90.376,2.27,3.108,22986.95808,43.78,73.78,27.317,17.9477,232.467
dza,Algeria,10.3517,107.787,2.82,3.88,14782.2003,29.18,76.85,27.983,10.5536,19.094
ecu,Ecuador,15.1129,98.1309,1.86,2.7,14186.63885,47.88,76.97,27.975,17.9675,71.766
egy,Egypt,10.6832,90.6795,2.75,2.399,16360.39078,33.39,69.78,23.813,9.4803,113.133
eri,Eritrea,0.16539,59.1248,3.79,0.234,2108.78552,44.67,63.14,18.405,3.6768,28.144
esp,Spain,35.7846,123.4,1.21,5.657,46649.56354,36.99,83.47,44.392,54.0465,95.209
